this is sample data from the original For graph directory for Subject 1
4282.051	4192.307	4210.256	4256.410	4230.769	4276.923	4246.153
4280.128	4190.215	4208.300	4254.102	4229.410	4275.201	4244.102
4278.450	4188.100	4206.100	4252.100	4227.100	4273.100	4242.100
4279.100	4189.500	4207.200	4253.200	4228.300	4274.500	4243.500
4281.500	4191.000	4209.500	4255.000	4230.100	4276.000	4245.000
4283.000	4192.500	4211.000	4256.500	4231.500	4277.500	4246.500
4284.100	4193.100	4212.100	4257.600	4232.600	4278.600	4247.600
4282.800	4191.800	4210.800	4256.300	4231.300	4277.300	4246.300
4281.000	4190.000	4209.000	4254.500	4229.500	4275.500	4244.500
4279.500	4188.500	4207.500	4253.000	4228.000	4274.000	4243.000
